Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
camisa borracha surf,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de borracha para surf,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de borracha surf,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de neoprene manga longa,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de neoprene masculina,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de neoprene para mergulho,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de neoprene para natação,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de neoprene para surf,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa de neoprene surf,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa lycra neoprene,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa manga longa neoprene,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neolycra,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene 1 5mm,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene 1mm,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene 2mm,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene 3mm,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene feminina,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene masculina,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene mergulho,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene natação,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa neoprene surf 2mm,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camisa surf neoprene,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
camiseta com neoprene e uv,neoprene-camiseta-compra,n/c,n/c,,Exact,kw-manager,
camiseta para agua fria,neoprene-camiseta-compra,n/c,n/c,,Exact,kw-manager,
camiseta termica para agua fria,neoprene-camiseta-compra,n/c,n/c,,Exact,kw-manager,
jaqueta neoprene surf,neoprene-camiseta-compra,n/c,n/c,,Exact,sessao,
jaqueta para surf,neoprene-camiseta-compra,n/c,n/c,,Exact,sessao,
neoprene camisa,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
neoprene camiseta,neoprene-camiseta-compra,n/c,n/c,,Exact,lista-colada,
segunda pele para agua,neoprene-camiseta-compra,n/c,n/c,,Exact,kw-manager,
bermuda neoprene,neoprene-bermuda-compra,210,0.11,Informational,Phrase,kw-manager,
bermuda neoprene natação,neoprene-bermuda-compra,210,0.00,Commercial,Phrase,kw-manager,
bermuda de flutuação,neoprene-bermuda-compra,110,0.00,Commercial,Phrase,kw-manager,
bermuda de neoprene,neoprene-bermuda-compra,90,0.09,Commercial,Exact,kw-manager,
bermuda de neoprene masculina,neoprene-bermuda-compra,20,0.08,,Exact,kw-manager,
bermuda de neoprene para surf,neoprene-bermuda-compra,20,0.09,,Exact,kw-manager,
bermuda neoprene surf,neoprene-bermuda-compra,20,0.14,,Exact,kw-manager,
bermuda surf neoprene,neoprene-bermuda-compra,20,0.08,,Exact,kw-manager,
short de neoprene,neoprene-bermuda-compra,20,0.09,,Exact,kw-manager,
shorts neoprene,neoprene-bermuda-compra,10,0.10,,Exact,kw-manager,
bermuda neoprene masculino,neoprene-bermuda-compra,0,0.00,,Exact,kw-manager,
shorts de neoprene,neoprene-bermuda-compra,0,0.09,,Exact,kw-manager,
bermuda para aguas abertas,neoprene-bermuda-compra,n/c,n/c,,Exact,kw-manager,
bermuda para remada,neoprene-bermuda-compra,n/c,n/c,,Exact,kw-manager,
bermuda termica para agua,neoprene-bermuda-compra,n/c,n/c,,Exact,kw-manager,
bermuda surf,bermuda-surf-compra,2400,0.00,Commercial,Phrase,kw-manager,
bermudas masculinas surfista,bermuda-surf-compra,1000,0.00,Commercial,Phrase,kw-manager,
short surf,bermuda-surf-compra,720,0.00,Commercial,Phrase,kw-manager,
bermuda surfista,bermuda-surf-compra,480,0.00,Informational,Phrase,kw-manager,
bermuda masculina surf,bermuda-surf-compra,390,0.00,Commercial,Phrase,kw-manager,
short surf masculino,bermuda-surf-compra,320,0.00,"Informational, Commercial",Phrase,kw-manager,
short surfista,bermuda-surf-compra,210,0.00,"Informational, Commercial",Phrase,kw-manager,
bermuda para surfista,bermuda-surf-compra,110,0.00,Commercial,Phrase,kw-manager,
bermuda termica surf,bermuda-surf-compra,n/c,n/c,,Exact,kw-manager,
bermuda natação,bermuda-natacao-compra,1000,0.00,Commercial,Phrase,kw-manager,
bermuda natação masculina,bermuda-natacao-compra,1000,0.00,Commercial,Phrase,kw-manager,
bermuda para natação,bermuda-natacao-compra,880,0.00,"Informational, Commercial",Phrase,kw-manager,
bermuda para natação masculina,bermuda-natacao-compra,720,0.00,Commercial,Phrase,kw-manager,
short de natação,bermuda-natacao-compra,720,0.00,Informational,Phrase,kw-manager,
short natação masculino,bermuda-natacao-compra,720,0.00,"Informational, Commercial",Phrase,kw-manager,
short para natação masculino,bermuda-natacao-compra,590,0.00,Informational,Phrase,kw-manager,
bermuda natacao,bermuda-natacao-compra,480,0.00,Commercial,Phrase,kw-manager,
bermuda de natacao masculina,bermuda-natacao-compra,320,0.00,Informational,Phrase,kw-manager,
short natacao,bermuda-natacao-compra,210,0.00,Informational,Phrase,kw-manager,
bermuda para natacao,bermuda-natacao-compra,170,0.00,"Informational, Commercial",Phrase,kw-manager,
shorts para natação,bermuda-natacao-compra,140,0.00,Informational,Phrase,kw-manager,
short natacao masculino,bermuda-natacao-compra,90,0.00,"Informational, Commercial",Exact,kw-manager,
short nataçao,bermuda-natacao-compra,90,0.00,"Informational, Commercial",Exact,kw-manager,
roupa de surf,neoprene-surf-compra,1600,0.00,Commercial,Phrase,kw-manager,
roupa de surf masculina,neoprene-surf-compra,720,0.00,Informational,Phrase,kw-manager,
roupas para surfar,neoprene-surf-compra,720,0.00,Commercial,Phrase,kw-manager,
roupa de surfista,neoprene-surf-compra,590,0.00,Commercial,Phrase,kw-manager,
roupa de borracha surf,neoprene-surf-compra,480,0.00,Commercial,Phrase,kw-manager,
roupa de surfista masculina,neoprene-surf-compra,480,0.00,Commercial,Phrase,kw-manager,
roupa de borracha para surf,neoprene-surf-compra,390,0.00,Commercial,Phrase,kw-manager,
roupa de surfista feminina,neoprene-surf-compra,210,0.00,Commercial,Phrase,kw-manager,
neoprene surf,neoprene-surf-compra,140,0.00,"Informational, Commercial",Phrase,kw-manager,
roupa de neoprene surf,neoprene-surf-compra,110,0.00,Commercial,Phrase,kw-manager,
roupa de neoprene para surf,neoprene-surf-compra,90,0.00,Commercial,Exact,kw-manager,
roupa termica surf,neoprene-surf-compra,50,0.08,,Exact,kw-manager,
neoprene para surf,neoprene-surf-compra,20,0.10,,Exact,kw-manager,
roupa de natação,neoprene-natacao-compra,1900,0.00,Commercial,Phrase,kw-manager,
roupa para natação,neoprene-natacao-compra,880,0.00,"Informational, Commercial",Phrase,kw-manager,
roupas de natacao,neoprene-natacao-compra,720,0.00,Commercial,Phrase,kw-manager,
roupa de natação masculina,neoprene-natacao-compra,590,0.00,Informational,Phrase,kw-manager,
roupa feminina natação,neoprene-natacao-compra,590,0.00,Commercial,Phrase,kw-manager,
roupa de borracha para natação,neoprene-natacao-compra,390,0.00,Commercial,Phrase,kw-manager,
roupa neoprene natação,neoprene-natacao-compra,390,0.00,Commercial,Phrase,kw-manager,
roupa neoprene para natação,neoprene-natacao-compra,390,0.00,"Informational, Commercial",Phrase,kw-manager,
roupas para natacao,neoprene-natacao-compra,390,0.00,Informational,Phrase,kw-manager,
roupa de borracha natação,neoprene-natacao-compra,320,0.00,Commercial,Phrase,kw-manager,
roupa de natação masculino,neoprene-natacao-compra,320,0.08,"Informational, Commercial",Phrase,kw-manager,
neoprene natação,neoprene-natacao-compra,260,0.00,"Informational, Commercial",Phrase,kw-manager,
roupa de neoprene para natação,neoprene-natacao-compra,260,0.11,Commercial,Phrase,kw-manager,
neoprene para natação,neoprene-natacao-compra,210,0.00,"Informational, Commercial",Phrase,kw-manager,
neoprene natacao,neoprene-natacao-compra,170,0.00,Commercial,Phrase,kw-manager,
roupa de natacao feminina,neoprene-natacao-compra,170,0.00,"Informational, Commercial",Phrase,kw-manager,
roupa termica natação,neoprene-natacao-compra,170,0.00,Commercial,Phrase,kw-manager,
roupa termica para natação,neoprene-natacao-compra,170,0.00,"Informational, Commercial",Phrase,kw-manager,
roupa de natacao masculina,neoprene-natacao-compra,140,0.00,Commercial,Phrase,kw-manager,
roupa para natacao masculina,neoprene-natacao-compra,140,0.00,Informational,Phrase,kw-manager,
roupa neoprene natacao,neoprene-natacao-compra,110,0.00,Commercial,Phrase,kw-manager,
roupas de natação masculina,neoprene-natacao-compra,70,0.07,,Exact,kw-manager,
roupa de borracha para natação masculino,neoprene-natacao-compra,40,0.07,,Exact,kw-manager,
roupa de natação masculina adulto,neoprene-natacao-compra,30,0.07,,Exact,kw-manager,
roupa de natação masculina neoprene,neoprene-natacao-compra,20,0.08,,Exact,kw-manager,
roupa masculina de natação,neoprene-natacao-compra,10,0.07,,Exact,kw-manager,
neoprene para natacao,neoprene-natacao-compra,n/c,n/c,,Exact,kw-manager,
roupa neoprene,neoprene-categoria-compra,1000,0.10,Commercial,Phrase,kw-manager,
roupa de neoprene,neoprene-categoria-compra,880,0.09,"Informational, Commercial",Phrase,kw-manager,
roupas em neoprene,neoprene-categoria-compra,720,0.10,"Informational, Commercial",Phrase,kw-manager,
roupas femininas neoprene,neoprene-categoria-compra,260,0.00,"Informational, Commercial",Phrase,kw-manager,
roupas de neoprene,neoprene-categoria-compra,170,0.09,Commercial,Phrase,kw-manager,
roupa para piscina masculino,neoprene-categoria-compra,140,0.00,"Informational, Commercial",Phrase,kw-manager,
roupas de piscina masculino,neoprene-categoria-compra,140,0.00,Commercial,Phrase,kw-manager,
neoprene 3mm,neoprene-categoria-compra,110,0.18,"Informational, Commercial",Phrase,kw-manager,
neoprene feminino,neoprene-categoria-compra,110,0.00,"Informational, Commercial",Phrase,kw-manager,
roupa de neoprene feminina,neoprene-categoria-compra,70,0.13,,Exact,kw-manager,
conjunto neoprene,neoprene-categoria-compra,50,0.06,,Exact,kw-manager,
